BoroName,BoroCode,BoroCD,CounDist,AssemDist,StSenDist,CongDist,StopName,Corner,BusStopID,Routes,Direction,Notes,Elected Official,WO #,Wireless Communication,Release Date,RTPI Complete,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac,Location
Manhattan,1,207,10,72,31,13,W 225 ST & BROADWAY,SE,100624,Bx9,SB,,Rodriguez (Mn),E130,AT&T,06/15/2020,12/23/2020,40.874274,-73.909375,Kingsbridge-Marble Hill,X,AREA OF MINIMAL FLOOD HAZARD,2,POINT (-73.909375 40.874274)
Queens,4,414,31,23,10,5,SEAGIRT BL & BEACH 17 ST,SW,552427,"Q113 LTD, Q114 LTD",NB,,Richards (Qn),E162,AT&T,12/07/2020,04/21/2021,40.59498,-73.751338,Far Rockaway-Bayswater,AE,,1,POINT (-73.751338 40.59498)
Bronx,2,212,11,81,36,16,NEREID AV & WHITE PLAINS RD,SW,101148,Bx16,EB,,Cohen (Bx),E125,AT&T,05/18/2020,05/06/2021,40.89844,-73.854552,Wakefield-Woodlawn,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.854552 40.89844)
Staten Island,5,501,49,63,23,11,"TOMPKINS AV & CHESTNUT AV
(SW Corner)
201088",,201088,"S78, S52",Southbound,Bricktown Mall,Oddo (SI),E402,AT&T,11/02/2018,01/09/2019,40.615306,-74.073449,Rosebank-Shore Acres-Park Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.073449 40.615306)
Brooklyn,3,312,44,48,22,9,"CONEY ISLAND AV 
& AV I
(SW Corner)
301189",,301189,"B68, B11",Southbound,Transfer from B11. South to Coney Island. Near Yeshivah of Flatbush,Yeger (Bk),E383,AT&T,10/05/2018,01/11/2019,40.626702,-73.965676,Mapleton-Midwood (West),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.965676 40.626702)
Queens,4,406,29,28,14,6,71 AV & QUEENS BL(SE Corner)                                                    550898,,550898,Q23,Northbound,"Transfer from Forest Hills - 71 Av E, F, M, R. North on 108th St to East Elmhurst",Katz (Qn),E256,AT&T,04/11/2018,10/26/2018,40.721106,-73.844033,Forest Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.844033 40.721106)
Staten Island,5,501,50,63,24,11,"VICTORY BL 
& LESTER ST
(SE Corner)
200536",,200536,"S66, S62, S61",Eastbound,St George,Oddo (SI),E389,AT&T,10/05/2018,04/04/2019,40.612897,-74.124494,Westerleigh-Castleton Corners,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.124494 40.612897)
Queens,4,403,22,35,13,14,82 ST & ASTORIA BL 550724,,550724,"Q69, Q47",Southbound,"Near LaGuardia hotels, rental car lots, west toward northern Astoria & LIC, or south toward Atlas Park Mall",Constantinides (Q),E33,NYCWiN,,,40.765277,-73.887312,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.887312 40.765277)
Brooklyn,3,312,39,44,21,9,CHURCH AV & OCEAN PKY,SE,302695,"B35, B103 LTD, BM3, BM4",EB,,Lander (Bk),E072,AT&T,01/16/2020,01/29/2021,40.644999,-73.973952,Kensington,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.973952 40.644999)
Staten Island,5,502,50,64,23,11,"NARROWS RD S (LIE) & HYLAN BL
(SE  Corner)
203343",,203343,"S93 LTD, X10, X15",Eastbound / Northbound,East toward Bay Ridge or north toward downtown and midtown Manhattan,Oddo (SI),E46,NYCWiN,,,40.605338,-74.076078,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.076078 40.605338)
Staten Island,5,502,50,64,24,11,"HYLAN BL & LINDBERGH AV
(SW Corner)
201124",,201124,"S79 SBS, S78",Southbound,"Near retail, south to Staten Island Mall & Bricktown Mall",Matteo (SI),E99,AT&T,,,40.566858,-74.113582,New Dorp-Midland Beach,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-74.113582 40.566858)
Brooklyn,3,303,36,56,25,8,GRAHAM AV & BROADWAY,NE,801059,B43,NB,,Reynoso (Bk),E053,AT&T,11/27/2019,07/21/2020,40.700573,-73.942261,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.942261 40.700573)
Manhattan,1,105,4,75,28,12,"W 57 ST & 7 AV
403736",,403736,"M57, M31",Eastbound,"East on 57th Street for M57, and north on York Avenue for M31",Garodnick (M),E123,NYCWiN,,,40.765563,-73.980322,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.980322 40.765563)
Manhattan,1,105,3,75,28,12,W 50 ST & 8 AV,SE,402167,M50,EB,,Johnson (Mn),E032,AT&T,10/11/2019,03/17/2021,40.762023,-73.985792,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.985792 40.762023)
Staten Island,5,502,49,63,24,11,"S GANNON AV & GANSEVOORT BL
(SE Corner)
203612",,203612,"X11, X10",Northbound,East on Gannon Av S and onto SI Expy east into Brooklyn toward midtown Manhattan,Rose (SI),E81,NYCWiN,,,40.608165,-74.126855,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.126855 40.608165)
Brooklyn,3,306,39,44,20,10,"7 AV & 11 ST
305629",,305629,"B69, B67",Northbound,North on 7th Av toward Downtown BK and Navy Yard,Lander (K),E133,NYCWiN,,,40.665909,-73.982287,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.982287 40.665909)
Brooklyn,3,306,39,52,26,10,COLUMBIA ST & WARREN ST,SE,308563,B61,NB,,Lander (Bk),E086,AT&T,02/04/2020,08/14/2020,40.688913,-74.000744,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-74.000744 40.688913)
Queens,4,413,31,31,10,5,GUY R BREWER BL & FARMERS BL,SE,552315,"Q111, Q113 LTD, Q114 LTD",NB,,Richards (Qn),E170,AT&T,12/21/2020,05/13/2021,40.66397,-73.768465,Springfield Gardens (South)-Brookville,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-73.768465 40.66397)
Manhattan,1,108,5,76,28,12,2 AV/E 82 ST                401755,,401755,M15,Southbound,South on 2nd Av to South Ferry,Kallos (M),E185,NYCWiN,,,40.775053,-73.95387,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.95387 40.775053)
Staten Island,5,501,49,63,23,11,"BEMENT AV & CASTLETON AV
(SE Corner)
200846",,200846,S44,Eastbound,St George,Oddo (SI),E411,AT&T,11/05/2018,01/22/2019,40.634629,-74.11213,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.11213 40.634629)
Queens,4,410,32,38,15,5,ROCKAWAY BL & 102 ST,NW,550136,"Q7, Q41",WB,,Ulrich (Qn),E143,AT&T,09/10/2020,04/19/2021,40.679819,-73.837991,South Ozone Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.837991 40.679819)
Queens,4,403,21,34,13,14,"NORTHERN BL &
JUNCTION BL
(NW Corner)
551887",,551887,Q66,Westbound,Transfer from Q72. West on Northern Blvd to Long Island City,Moya (Qn),E321,AT&T,08/03/2018,10/26/2018,40.756875,-73.874178,East Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.874178 40.756875)
Queens,4,413,31,31,10,5,147 AV & BROOKVILLE BL,SW,552300,Q114 LTD,NB,,Richards (Qn),E164,AT&T,12/21/2020,05/04/2021,40.657503,-73.744956,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-73.744956 40.657503)
Bronx,2,205,14,77,31,13,"UNIVERSITY AV & 
W TREMONT AV   100152",,100152,"BX3, Bx36, Bx36 (Ltd)",Eastbound / Northbound,East on Tremont Av for Bx36 and north on University Av for Bx3,Cabrera (X),E37,NYCWiN,,,40.850268,-73.915494,University Heights (South)-Morris Heights,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.915494 40.850268)
Queens,4,412,27,29,14,5,ARCHER AV &MERRICK BL(SW Corner)                                                     503937,,503937,Q5,Eastbound,Near Home Depot. South on Merrick Blvd to Rosedale & Green Acres Mall,Katz (Qn),E265,AT&T,04/19/2018,09/27/2018,40.704299,-73.792933,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.792933 40.704299)
Staten Island,5,501,49,63,23,11,"CASTLETON AV & DAVIS AV
(SE Corner)
200270",,200270,S46,Eastbound,St George,Oddo (SI),E408,AT&T,11/05/2018,01/30/2019,40.634649,-74.108527,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.108527 40.634649)
Manhattan,1,108,4,73,28,12,LEXINGTON AV & E 94 ST                        402819,,402819,"M101, M102, M103",Southbound,--,Garodnick (M),E195,AT&T,,,40.784406,-73.952025,Upper East Side-Carnegie Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.952025 40.784406)
Staten Island,5,502,50,62,24,11,"VICTORY BL & ALBERTA AV
(NE Corner)
201934",,201934,"X11, S92 LTD, S62",Northbound / Eastbound,Northeast on Victory Blvd to St. George & Manhattan,Matteo (SI),E58,NYCWiN,,,40.590881,-74.19196,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-74.19196 40.590881)
Queens,4,414,32,23,10,5,149-25 ROCKAWAY BEACH BL,SE,550741,"Q22, Q35",EB,,Ulrich (Qn),E150,AT&T,10/22/2020,05/06/2021,40.569271,-73.863805,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,X,AREA OF MINIMAL FLOOD HAZARD,1,POINT (-73.863805 40.569271)
Queens,4,414,31,23,10,5,BEACH 20 ST & SEAGIRT BL,NW,550851,"Q22, QM17",WB,,Richards (Qn),E176,AT&T,01/11/2021,06/11/2021,40.595428,-73.754169,Far Rockaway-Bayswater,AE,,1,POINT (-73.754169 40.595428)
Brooklyn,3,310,43,64,26,11,BAY RIDGE AV/4 AV           300076,,300076,B64,Eastbound,East on Bay Ridge Avenue and south toward Bath Beach and Coney Island,Savino (K),E177,NYCWiN,,,40.634412,-74.02321,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.02321 40.634412)
Manhattan,1,108,5,76,28,12,"1 AV & E 64 ST
(NE Corner)
401706",,401706,M15,Northbound,North on 1st Avenue toward East Harlem,Kallos (M),E152,AT&T,,,40.762984,-73.959485,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.959485 40.762984)
Queens,4,412,27,33,14,5,FARMERS BL & 111 AV,NE,500183,"Q3, Q83",WB,,Miller (Qn),E058,AT&T,12/11/2019,06/16/2020,40.701992,-73.765629,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.765629 40.701992)
Bronx,2,208,11,81,31,13,BROADWAY & W 231 ST,SE,100582,Bx9,NB,,Cohen (Bx),E127,AT&T,06/01/2020,03/12/2021,40.878788,-73.904848,Kingsbridge-Marble Hill,X,AREA OF MINIMAL FLOOD HAZARD,4,POINT (-73.904848 40.878788)
Staten Island,5,501,49,61,23,11,"BROAD ST &
TOMPKINS AV
(SW Corner)
202153",,202153,S74,Northbound,North to St. George,Rose (SI),E54,NYCWiN,,,40.624338,-74.080149,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-74.080149 40.624338)
Staten Island,5,503,51,62,24,11,"ROSSVILLE AV &
OPP CORRELL AV
(SE Corner)
203532",,203532,"X22, X17, S74",Northbound,North to St. George Ferry Terminal & midtown Manhattan,Oddo (SI),E45,NYCWiN,,,40.546365,-74.20978,Arden Heights-Rossville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.20978 40.546365)
Brooklyn,3,305,42,60,19,8,"NEW LOTS AV & ASHFORD ST                           (SE Corner)
301146",,301146,B15,Eastbound,"Transfer from New Lots Av 3, east on New Lots Av to JFK Airport",Adams (K),E94,NYCWiN,,,40.666296,-73.882727,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-73.882727 40.666296)
Manhattan,1,108,4,73,28,12,"E 68 ST & LEXINGTON AV
(SE Corner)
403497",,403497,M66,Eastbound,"Transfer from 68 St-Hunter College 6 subway, east on 68th St toward Rockefeller Univ. & NYPB Hospital",Garodnick (M),E9,NYCWiN,,,40.76765,-73.963704,Upper East Side-Carnegie Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.963704 40.76765)
Brooklyn,3,306,38,51,26,10,VAN DYKE ST & VAN BRUNT ST,NE,305095,B60,NB,,Menchaca (Bk),E036,AT&T,10/22/2019,02/24/2020,40.675698,-74.014662,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,AE,,1,POINT (-74.014662 40.675698)
Brooklyn,3,301,33,50,59,7,MANHATTAN AV & GREENPOINT AV,SW,305170,"B43, B62",SB,,Levin (Bk),E177,AT&T,01/11/2021,06/24/2021,40.729832,-73.954159,Greenpoint,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.954159 40.729832)
Brooklyn,3,302,33,52,26,10,"ATLANTIC AV & COURT ST
(SE Corner)
305112",,305112,"B63, B61","Eastbound, Southbound",Outside of Trader Joe's east along Atlantic Av & south down 5th Av. Transfer from B57 Court St bus,Lander (K),E26,NYCWiN,,,40.689565,-73.992204,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.992204 40.689565)
Manhattan,1,108,4,76,28,12,3 AV & E 72 ST 403432,,403432,"M103, M102, M101 LTD",Northbound,--,Garodnick (M),E200,AT&T,,,40.770075,-73.960281,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.960281 40.770075)
Brooklyn,3,310,43,46,26,11,"86 ST & 4 AV
(SE Corner)
301614",,301614,"B16, B1",Eastbound / Northbound,"Transfer from 86 St R, east on 86th St to Manhattan Beach or north to Prospect Park",Adams (K),E92,NYCWiN,,,40.622299,-74.027696,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.027696 40.622299)
Staten Island,5,503,50,64,24,11,"MILL RD 
& EBBITTS ST
(SE Corner)
203562",,203562,S76,Northbound,St George,Oddo (SI),E424,AT&T,12/27/2018,04/11/2019,40.564194,-74.110115,Oakwood-Richmondtown,X,AREA OF MINIMAL FLOOD HAZARD,4,POINT (-74.110115 40.564194)
Queens,4,401,26,36,12,7,"BROADWAY & STEINWAY ST
(SE Corner)
552185",,552185,Q104,Eastbound,"Near Library. Transfer from Q101. East on Broadway, south to Sunnyside",Van Bramer (Qn),E283,AT&T,05/29/2018,10/26/2018,40.75881,-73.918728,Astoria (East)-Woodside (North),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.918728 40.75881)
Manhattan,1,108,5,76,28,12,"YORK AV 
& E 72 ST
(NE Corner)
402334",,402334,M31,Northbound,"Transfer from M72, north on 
York Av",Kallos (M),E73,NYCWiN,,,40.767166,-73.95344,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,4,POINT (-73.95344 40.767166)
Bronx,2,207,11,80,33,15,"BAINBRIDGE AV 
& E 204 ST
(SE Corner)
102230",,103616,"Bx34, Bx28",Northbound,Transfer from 205 St D. Near NYPL. North to Woodlawn Heights or east to Coop City,Cohen (Bx),E345,AT&T,09/14/2018,02/08/2019,40.873542,-73.879466,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.879466 40.873542)
Staten Island,5,503,51,64,24,11,"HYLAN BL & NELSON AV
(NE Corner)
201003",,201003,"S79 SBS, S78",Northbound,Near shopping. North on Hylan toward St. George or Bay Ridge,Oddo (SI),E83,NYCWiN,,,40.542586,-74.145566,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,4,POINT (-74.145566 40.542586)
Manhattan,1,107,6,69,47,12,"COLUMBUS AV 
& W 92 ST
(SW Corner)
401091",,401091,"M11, M7",Southbound,South on Columbus Av to West Village,Rosenthal (Mn),E305,AT&T,07/05/2018,10/31/2018,40.790024,-73.969719,Upper West Side (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.969719 40.790024)
Brooklyn,3,312,38,49,22,10,60 ST & FT HAMILTON PKY,SE,307071,B9,EB,,Menchaca (Bk),E039,AT&T,10/23/2019,04/29/2020,40.632839,-74.005321,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.005321 40.632839)
Staten Island,5,503,51,62,24,11,"MAIN ST & 
HYLAN BL
(NW Corner)
200967",,200967,"S78, S59",Northbound,Northeast on Hylan toward SI Ferry Terminal or north on Richmond Av toward Port Richmond,Borelli (SI),E11,NYCWiN,,,40.504238,-74.245304,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.245304 40.504238)
Brooklyn,3,303,33,57,25,8,DEKALB AV & NOSTRAND AV,NW,303088,B38,WB,,Levin (Bk),E182,AT&T,01/14/2021,06/14/2021,40.691337,-73.952196,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.952196 40.691337)
Staten Island,5,502,51,63,24,11,"YUKON AV & 
70 YUKON AV
(S Side)
200457",,200457,S59,Southbound,Tottenville,Oddo (SI),E382,AT&T,09/28/2018,12/20/2018,40.575645,-74.16715,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-74.16715 40.575645)
Queens,4,412,27,32,14,5,GUY R BREWER BL & ARCHER AV,SW,552358,"Q111, Q112, Q114",SB,,Miller (Qn),E061,AT&T,01/02/2020,05/07/2020,40.703099,-73.796108,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.796108 40.703099)
Staten Island,5,501,49,63,23,11,"RICHMOND AV & 
W CASWELL AV
(NE Corner)
200403",,200403,"S94 LTD, S59, S44",Eastbound,St George,Oddo (SI),E351,AT&T,09/20/2018,01/09/2019,40.616621,-74.156603,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.156603 40.616621)
Brooklyn,3,312,39,51,17,10,39 ST & 10 AV,SE,302686,B35,EB,,Lander (Bk),E079,AT&T,01/23/2020,10/05/2020,40.644356,-73.992613,Sunset Park (East)-Borough Park (West),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.992613 40.644356)
Queens,4,401,22,36,59,14,21 ST & ASTORIA BL,SW,550693,"Q69, Q100",SB,,Constantinedes (Qn),E093,AT&T,02/05/2020,12/03/2020,40.772185,-73.926139,Old Astoria-Hallets Point,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.926139 40.772185)
Queens,4,401,22,36,59,14,21 ST & 30 AV,NE,550688,"Q69, Q100",NB,,Constantinedes (Qn),E092,AT&T,02/05/2020,12/04/2020,40.770106,-73.927583,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.927583 40.770106)
Queens,4,409,32,38,15,7,JAMAICA AV/94 ST 503385,,503385,Q56,Eastbound,"Transfer from Woodhaven Blvd buses and J, Z trains east to Jamaica. In case #17 is infeasible",Ulrich (Q),E209,NYCWiN,,,40.694003,-73.850981,Woodhaven,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.850981 40.694003)
Manhattan,1,103,1,65,27,10,E BROADWAY/CATHERINE ST                             401210,,401210,"M9, M22",Westbound,West to Battery Park City,Chin (M),E151,NYCWiN,,,40.71351,-73.997626,Chinatown-Two Bridges,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.997626 40.71351)
Manhattan,1,103,1,65,27,10,MADISON ST/OLIVER ST 402088,,402088,"M15, M22",Eastbound,North to East Harlem or east to Vladeck Houses/FDR,Chin (M),E186,NYCWiN,,,40.711877,-73.997922,Chinatown-Two Bridges,X,AREA OF MINIMAL FLOOD HAZARD,1,POINT (-73.997922 40.711877)
Queens,4,401,22,34,12,14,"DITMARS BL & 
31 ST
(SE Corner)
550706",,550706,Q69,Eastbound,"Transfer from Astoria-Ditmars Blvd N, Q, east on Ditmars Blvd toward Astoria Blvd in Jackson Heights",Constantinides (Q),E28,NYCWiN,,,40.775832,-73.910318,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.910318 40.775832)
Manhattan,1,107,6,67,47,12,"AMSTERDAM AV 
& W 77 ST
(NE Corner)
401023",,401023,"M11, M7",Northbound,North on Amsterdam Av to Harlem,Rosenthal (Mn),E302,AT&T,07/05/2018,11/05/2018,40.782056,-73.978988,Upper West Side (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.978988 40.782056)
Manhattan,1,105,4,73,28,12,"MADISON AV & 
E 57 ST 
(NE Corner)
400363",,400363,"M3, M4 (LTD), Q32",Northbound,"Near SE corner of Central Park, northbound on Madison Av.",Garodnick (M),E130,AT&T,,,40.762858,-73.971838,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.971838 40.762858)
Queens,4,410,32,23,15,5,"ROCKAWAY BL 
& 97 ST
(NW Corner)
550137",,550137,"Q112, Q41, Q7",Westbound,"Transfer from A at Rockaway Blvd, Western Terminal of Q112",Ulrich (Q),E23,NYCWiN,,,40.680473,-73.842372,Ozone Park,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.842372 40.680473)
Brooklyn,3,312,44,48,22,9,"60 ST & 16 AV
(SE Corner)
300938",,300938,B9,Eastbound,CM Request,Yeger (Bk),E331,AT&T,08/14/2018,11/27/2018,40.624591,-73.991653,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.991653 40.624591)
Manhattan,1,108,4,73,28,12,"E 67 ST &
MADISON AV
403508",,403508,M66,Westbound,West across park to west side and Lincon Center,Garodnick (M),E141,AT&T,,,40.768571,-73.967584,Upper East Side-Carnegie Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.967584 40.768571)
Staten Island,5,501,49,63,24,11,"FOREST AV &
VICTORY BL                   (SW Corner)                201513",,201513,"S98 LTD, S48, X30 DOO",Eastbound,North on Victory Blvd to St. George,Rose (SI),E78,NYCWiN,,,40.630411,-74.089397,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.089397 40.630411)
Staten Island,5,502,50,64,23,11,"HYLAN BL 
& BIONIA AV
(NE Corner)
200697",,200697,"S78, S53",Southbound,Bricktown Mall,Oddo (SI),E371,AT&T,09/26/2018,01/11/2019,40.598046,-74.075832,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.075832 40.598046)
Staten Island,5,501,49,61,23,11,"TARGEE ST 
& BROAD ST 
(SE Corner)
202151",,202151,S74,Northbound,--,Oddo (SI),E102,NYCWiN,,,40.622999,-74.083782,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.083782 40.622999)
Queens,4,401,22,36,59,14,30 AV & 29 ST,SE,550525,Q18,NB,,Constantinedes (Qn),E104,AT&T,02/21/2020,04/09/2021,40.767567,-73.922921,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.922921 40.767567)
Queens,4,401,22,34,12,14,"DITMARS BL & 
31 ST
(NW Corner)
550707",,550707,Q69,Westbound,West on Ditmars Blvd and south on 21st St toward Long Island City,Constantinides (Q),E28,NYCWiN,,,40.776485,-73.91105,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.91105 40.776485)
Brooklyn,3,307,38,51,17,10,39 ST & 7 AV,SE,302683,"B35, B70",SB,,Menchaca (Bk),E026,AT&T,10/04/2019,03/05/2020,40.648374,-73.999232,Sunset Park (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.999232 40.648374)
Staten Island,5,501,49,61,23,11,"TOMPKINS AV &
BROAD ST
(SW Corner)
201084",,201084,"S78, S52",Southbound,South on Tompkins Av to Staten Island Hospital or Bricktown Mall,Rose (SI),E77,NYCWiN,,,40.624297,-74.079529,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-74.079529 40.624297)
Queens,4,401,22,36,59,14,30 AV & 31 ST,NE,550528,"Q18, Q102",NB,,Constantinedes (Qn),E090,AT&T,02/05/2020,12/10/2020,40.767219,-73.921833,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.921833 40.767219)
Staten Island,5,501,49,63,23,11,"SOUTH AV & 
GOETHALS RD N
(NE Corner)
203388",,203388,"S46, S96 LTD",Northbound,North on South Av & east to St. George,Matteo (SI),E100,AT&T,,,40.621644,-74.16832,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-74.16832 40.621644)
Bronx,2,206,15,87,32,14,DEVOE AV & E 180 ST,NE,104238,Bx9,NB,,Torres (Bx),E159,AT&T,11/24/2020,06/24/2021,40.84152,-73.876332,West Farms,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.876332 40.84152)
Staten Island,5,501,49,61,23,11,"FOREST AV & EUNICE PL
201488",,201488,"S98 LTD, S48",Eastbound,--,Oddo (SI),E116,AT&T,,,40.625433,-74.15241,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.15241 40.625433)
Manhattan,1,106,2,73,28,12,MADISON AV & E 34 ST             400354,,400354,"M3, M4 (LTD), Q32",Northbound,North on Madison Av toward northern Manhattan.,Garodnick (M),E210,NYCWiN,,,40.747888,-73.982775,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.982775 40.747888)
Brooklyn,3,312,44,48,22,9,"BAY PKY & 60 ST
(SE Corner)
300521",,300521,"B6 LTD, B6",Eastbound,Transfer from B9. Northeast to Brooklyn College & E NY.,Yeger (Bk),E384,AT&T,10/15/2018,03/08/2019,40.616625,-73.978441,Mapleton-Midwood (West),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.978441 40.616625)
Bronx,2,206,15,86,32,15,"3 AV & E 180 ST
(NW Corner)
102949",,102949,"BX15 LTD, BX15",Southbound,Transfer from Bx36. South on 3rd Av to 125th St in Harlem,Torres (Bx),E339,AT&T,08/30/2018,12/05/2018,40.850826,-73.894052,Tremont,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.894052 40.850826)
Manhattan,1,108,4,68,28,12,"E 96 ST & 5 AV
(SE Corner)
404087",,404087,"M106, M96",Eastbound,East Harlem,Garodnick (M),E422,AT&T,,,40.787657,-73.955416,Upper East Side-Carnegie Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.955416 40.787657)
Manhattan,1,103,1,65,27,10,MADISON ST &GOUVERNEUR ST 402105,,402105,,,,Kallos (M),E267,AT&T,,,40.713218,-73.984341,Lower East Side,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.984341 40.713218)
Brooklyn,3,312,44,48,22,10,"50 ST & 14 AV
(SE Corner)
301177",,301177,B11,Eastbound,CM Request. Near Borough Park YMCA.,Yeger (Bk),E329,AT&T,08/14/2018,02/08/2019,40.632924,-73.990247,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.990247 40.632924)
